timestamp,x,y,z
1733479032.640456,0.280065,-0.019824,0.466439
1733479033.402560,0.268785,0.036967,0.487189
1733479033.402560,0.268785,0.036967,0.487189
1733479033.522766,0.267590,0.044719,0.486638
1733479033.621067,0.267957,0.053150,0.481735
1733479033.792153,0.264357,0.063979,0.484587
1733479033.896397,0.264055,0.070698,0.486625
1733479034.008044,0.263200,0.077663,0.486133
1733479034.061647,0.263939,0.081909,0.481883
1733479034.178369,0.264096,0.089999,0.481913
1733479034.278091,0.265216,0.097257,0.481300
1733479034.390447,0.268368,0.105810,0.476075
1733479034.497858,0.267089,0.112902,0.481524
1733479034.605714,0.265837,0.118939,0.480228
1733479034.605714,0.265837,0.118939,0.480228
1733479034.768807,0.261540,0.126315,0.481367
1733479034.884001,0.258687,0.126449,0.490967
1733479034.990890,0.259880,0.127362,0.489513
1733479035.105656,0.262964,0.126962,0.484192
1733479035.210471,0.264027,0.123508,0.488967
1733479035.271434,0.265533,0.122051,0.488107
1733479035.373937,0.268095,0.116497,0.485231
1733479035.436894,0.269486,0.113443,0.484468
1733479035.593777,0.268385,0.102253,0.491261
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479035.652465,0.269311,0.100404,0.485664
1733479036.696711,0.267446,0.009269,0.490988
1733479036.806409,0.267169,0.003706,0.487531
1733479036.856540,0.265016,0.000915,0.493137
1733479036.963810,0.265018,-0.002295,0.483451
1733479037.077146,0.260793,-0.003608,0.488326
1733479037.183663,0.259007,-0.004745,0.493090
1733479037.296605,0.257901,-0.006800,0.492362
1733479037.409912,0.255880,-0.009797,0.496383
1733479037.513043,0.255987,-0.014493,0.501817
1733479037.513043,0.255987,-0.014493,0.501817
1733479037.677836,0.260510,-0.024732,0.485021
1733479037.785011,0.262309,-0.030962,0.483438
1733479037.898461,0.262054,-0.035986,0.486715
1733479038.008300,0.261825,-0.040171,0.486549
1733479038.063302,0.262450,-0.042331,0.485444
1733479038.181693,0.260739,-0.046725,0.496420
1733479038.278861,0.260676,-0.052384,0.498248
1733479038.389935,0.267540,-0.060430,0.479067
1733479038.503234,0.269637,-0.067654,0.482577
1733479038.556842,0.267814,-0.070143,0.492097
1733479038.665228,0.272527,-0.078666,0.482303
1733479038.773499,0.274574,-0.085345,0.480462
1733479038.891276,0.271910,-0.090255,0.491961
1733479038.997539,0.272913,-0.096767,0.489402
1733479039.110610,0.272659,-0.103012,0.491069
1733479039.160658,0.273147,-0.105860,0.490631
1733479039.271065,0.276382,-0.112924,0.483832
1733479039.376748,0.274184,-0.117130,0.490713
1733479039.491182,0.272094,-0.121289,0.497079
1733479039.597359,0.273280,-0.126981,0.493813
1733479039.714105,0.275001,-0.132791,0.489118
1733479039.758638,0.273324,-0.134109,0.495674
1733479039.870013,0.272018,-0.138099,0.501033
1733479039.980346,0.273380,-0.144265,0.496561
1733479040.088439,0.272209,-0.149446,0.496019
1733479040.202738,0.270658,-0.153349,0.498490
1733479040.313102,0.266976,-0.156013,0.509158
1733479040.365001,0.268377,-0.160547,0.501675
1733479040.473038,0.267020,-0.166990,0.497971
1733479040.585544,0.268595,-0.175193,0.491857
1733479040.689706,0.267520,-0.179961,0.495874
1733479040.804427,0.264864,-0.182817,0.504508
1733479040.913254,0.265798,-0.189391,0.502895
1733479040.969687,0.269144,-0.194837,0.494018
1733479041.090292,0.268449,-0.197050,0.503250
1733479041.192418,0.267057,-0.200774,0.507138
1733479041.296484,0.266930,-0.206687,0.505816
1733479041.403335,0.265803,-0.213269,0.501938
1733479041.458568,0.263257,-0.213886,0.506313
1733479041.576540,0.261917,-0.219171,0.507430
1733479041.680509,0.262436,-0.224943,0.505866
1733479041.788396,0.261651,-0.229877,0.505321
1733479041.900846,0.261852,-0.234743,0.505604
1733479042.007132,0.263792,-0.240164,0.505198
1733479042.070958,0.264739,-0.241911,0.505266
1733479042.179098,0.267907,-0.246653,0.503028
1733479042.287251,0.268649,-0.248092,0.505613
1733479042.397928,0.266949,-0.247647,0.511297
1733479042.500744,0.266690,-0.248912,0.513531
1733479042.609716,0.261956,-0.246153,0.522223
1733479042.665035,0.261082,-0.246862,0.522582
1733479042.781576,0.255035,-0.241492,0.537818
1733479042.889481,0.252155,-0.241331,0.541741
1733479042.994233,0.251487,-0.242762,0.544393
1733479043.109621,0.244830,-0.236310,0.563360
1733479043.211952,0.242119,-0.237777,0.566076
1733479043.270799,0.241012,-0.236991,0.569438
1733479043.384361,0.237662,-0.233916,0.577797
1733479043.488509,0.236442,-0.234317,0.580151
1733479043.596436,0.232924,-0.234358,0.584558
1733479043.713834,0.226559,-0.230069,0.596319
1733479043.759519,0.225364,-0.231725,0.593018
1733479043.878008,0.219383,-0.226819,0.606179
1733479043.978180,0.217526,-0.224525,0.614320
1733479044.090841,0.218639,-0.225204,0.612952
1733479044.200501,0.220197,-0.224031,0.619045
1733479044.305878,0.222302,-0.224341,0.620044
1733479044.369240,0.221687,-0.221059,0.627359
1733479044.472309,0.223232,-0.222588,0.624363
1733479044.582544,0.225905,-0.222310,0.625104
1733479044.697299,0.225915,-0.219659,0.630646
1733479044.803824,0.225155,-0.218917,0.630461
1733479044.912160,0.223568,-0.217982,0.630087
1733479044.981084,0.221827,-0.214258,0.635973
1733479045.082820,0.220796,-0.214319,0.633141
1733479045.195116,0.222139,-0.214755,0.630019
1733479045.293218,0.224026,-0.213354,0.630364
1733479045.410189,0.225080,-0.211955,0.629969
1733479045.513310,0.228255,-0.211963,0.625664
1733479045.565558,0.227938,-0.208612,0.630098
1733479045.680103,0.227922,-0.209598,0.622115
1733479045.795227,0.227695,-0.207541,0.619541
1733479045.901254,0.227747,-0.204047,0.619088
1733479046.005228,0.226613,-0.198286,0.621581
1733479046.113105,0.228624,-0.196785,0.614806
1733479046.176948,0.229379,-0.194362,0.614915
1733479046.281625,0.229969,-0.188962,0.616092
1733479046.395986,0.230876,-0.185783,0.611686
1733479046.500659,0.232095,-0.183345,0.604760
1733479046.613171,0.229858,-0.174333,0.616166
1733479046.665480,0.231534,-0.174273,0.608506
1733479046.778184,0.231095,-0.170668,0.604057
1733479046.892086,0.231190,-0.165460,0.601958
1733479047.006876,0.230402,-0.157860,0.608678
1733479047.104567,0.233959,-0.155521,0.596405
1733479047.212566,0.235030,-0.148965,0.597474
1733479047.274194,0.234878,-0.146365,0.595960
1733479047.383255,0.232963,-0.139587,0.596874
1733479047.496955,0.235194,-0.133626,0.594199
1733479047.595949,0.236440,-0.126320,0.596618
1733479047.714190,0.236945,-0.120637,0.593939
1733479047.758942,0.237234,-0.117955,0.594096
1733479047.877082,0.239469,-0.113605,0.591503
1733479047.976708,0.239622,-0.108330,0.593282
1733479048.091401,0.239662,-0.103790,0.594890
1733479048.199990,0.239645,-0.099605,0.595117
1733479048.305171,0.240305,-0.095873,0.594167
1733479048.368795,0.239646,-0.093364,0.601228
1733479048.474625,0.242357,-0.091568,0.593272
1733479048.581184,0.242502,-0.087649,0.594938
1733479048.689953,0.244966,-0.083849,0.590548
1733479048.807228,0.245527,-0.079007,0.588932
1733479048.856609,0.245886,-0.076118,0.588057
1733479048.965538,0.245063,-0.069691,0.588904
1733479049.078059,0.244403,-0.062763,0.596737
1733479049.184793,0.247606,-0.057424,0.590795
1733479049.184793,0.247606,-0.057424,0.590795
1733479049.402614,0.245775,-0.043624,0.588364
1733479049.402614,0.245775,-0.043624,0.588364
1733479049.516948,0.243325,-0.036701,0.591097
1733479049.628866,0.241966,-0.029619,0.592224
1733479049.792337,0.239144,-0.019601,0.595167
1733479049.899700,0.238675,-0.013203,0.591405
1733479050.007804,0.238456,-0.006595,0.592806
1733479050.068726,0.236771,-0.003811,0.600271
1733479050.177380,0.236617,0.001271,0.600477
1733479050.281434,0.237534,0.006460,0.596177
1733479050.389102,0.237705,0.011561,0.600619
1733479050.447890,0.237839,0.013446,0.602027
1733479050.607965,0.239181,0.019967,0.602697
1733479050.668495,0.240003,0.022606,0.599752
1733479050.775997,0.238685,0.026986,0.604497
1733479050.881070,0.240307,0.033209,0.596593
1733479050.998399,0.241595,0.039074,0.596143
1733479051.109106,0.239421,0.041751,0.605211
1733479051.213524,0.237210,0.044690,0.602651
1733479051.265120,0.236384,0.046513,0.602191
1733479051.384750,0.235082,0.048668,0.607942
1733479051.493689,0.234810,0.050427,0.599616
1733479051.600691,0.231427,0.050453,0.602785
1733479051.712536,0.232198,0.050576,0.602563
1733479051.761302,0.232994,0.049869,0.596912
1733479051.870054,0.231441,0.046380,0.599831
1733479051.980282,0.230811,0.043287,0.606267
1733479052.091824,0.232893,0.040960,0.602007
1733479052.200288,0.233608,0.038817,0.599954
1733479052.308248,0.230322,0.034812,0.607311
1733479052.360882,0.231929,0.034193,0.599260
1733479052.472341,0.233072,0.028661,0.596773
1733479052.589316,0.234612,0.023299,0.592892
1733479052.689342,0.232489,0.017511,0.597785
1733479052.803558,0.231749,0.012242,0.601947
1733479052.910129,0.233234,0.007301,0.601770
1733479052.965953,0.234869,0.005001,0.596906
1733479053.076483,0.234521,-0.000695,0.602474
1733479053.185034,0.235511,-0.006697,0.600036
1733479053.294832,0.237583,-0.012658,0.597765
1733479053.294832,0.237583,-0.012658,0.597765
1733479053.513822,0.239502,-0.027725,0.591923
1733479053.573164,0.238409,-0.030895,0.595214
1733479053.677207,0.241284,-0.037984,0.593165
1733479053.677207,0.241284,-0.037984,0.593165
1733479053.677207,0.241284,-0.037984,0.593165
1733479054.005243,0.244598,-0.059434,0.582996
1733479054.083277,0.243658,-0.061648,0.588965
1733479054.187366,0.243532,-0.066831,0.588022
1733479054.289493,0.240749,-0.069297,0.599707
1733479054.396073,0.239463,-0.072564,0.600150
1733479054.503874,0.238211,-0.075963,0.599402
1733479054.608432,0.238530,-0.080339,0.593046
1733479054.668703,0.237343,-0.081771,0.595496
1733479054.668703,0.237343,-0.081771,0.595496
1733479054.880395,0.236272,-0.090207,0.594370
1733479054.993003,0.236599,-0.093895,0.595708
1733479055.109720,0.236134,-0.094992,0.605702
1733479055.212339,0.240057,-0.096879,0.606250
1733479055.268585,0.240893,-0.097163,0.609193
1733479055.377272,0.239724,-0.097200,0.619531
1733479055.490305,0.240081,-0.098286,0.621456
1733479055.597970,0.237791,-0.097157,0.629842
1733479055.711555,0.234129,-0.097871,0.632705
1733479055.763331,0.233319,-0.098878,0.629649
1733479055.873019,0.231367,-0.098663,0.634965
1733479055.981108,0.232906,-0.099696,0.632698
1733479056.091694,0.235585,-0.099753,0.632257
1733479056.199507,0.232318,-0.096589,0.642548
1733479056.309873,0.227988,-0.093903,0.650716
1733479056.360407,0.224857,-0.092123,0.657242
1733479056.487932,0.220120,-0.089771,0.663262
1733479056.590071,0.215668,-0.087103,0.671995
1733479056.692894,0.214764,-0.085268,0.676192
1733479056.804650,0.216742,-0.083069,0.681703
1733479056.913729,0.217801,-0.082224,0.681919
1733479056.969640,0.218814,-0.081852,0.682274
1733479057.074433,0.219456,-0.080614,0.685659
1733479057.193305,0.216997,-0.078147,0.693617
1733479057.291718,0.214182,-0.076619,0.697566
1733479057.407764,0.209943,-0.073742,0.708567
1733479057.514075,0.209146,-0.072788,0.711514
1733479057.587224,0.207818,-0.071521,0.716538
1733479057.684430,0.206843,-0.069778,0.721604
1733479057.791401,0.204887,-0.068066,0.723946
1733479057.897094,0.201000,-0.066161,0.728010
1733479058.007369,0.196428,-0.063827,0.733722
1733479058.062495,0.195524,-0.062599,0.734737
1733479058.176908,0.196409,-0.062119,0.730245
1733479058.286065,0.197190,-0.059827,0.726758
1733479058.392525,0.198679,-0.056902,0.723284
