Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,240.0,0.0,200.0,1741944811.2381575,aruco_1,0.018129554848849427,-0.04264604491423195,0.03049226239138003,-0.0258979645825434,-0.07532402840044464,0.9968002579146371,-0.0066949449946153445
P200,240.0,0.0,200.0,1741944811.2384343,aruco_5,0.39653703456958245,-0.03913523617358099,0.05626376444066483,0.03095353526266904,-0.002589027561065826,0.9994518180474051,-0.011455532292003218
P200,240.0,0.0,200.0,1741944811.2387247,aruco_7,0.5804772390834241,-0.039368033735332014,0.048649423800302904,0.08319100151430575,-0.05474469844016449,0.9949953429467732,0.008156766501896002
P200,240.0,0.0,200.0,1741944811.2389874,aruco_9,0.7643016092818422,-0.040175411165553176,0.03039970638008571,0.029437810048627774,-0.0055933730415081515,0.999548620225045,0.002162302238443069
P200,240.0,0.0,200.0,1741944811.3637214,aruco_2,0.024184013158066064,0.05507074128381217,0.04361563416597447,-0.04087067546264209,0.043920113212514995,0.9981790142510625,-0.006265562384154498
P200,240.0,0.0,200.0,1741944811.364174,aruco_8,0.5834137479936451,0.058968333161466754,0.02868711857063977,0.05051097030348512,0.020122942365832182,0.9984704599378253,0.01002196983615486
P200,240.0,0.0,200.0,1741944811.3644986,aruco_4,0.2076119208046501,0.05439876215025808,0.04064449277692894,-0.012603448623954265,0.06391640273327508,0.9978663153203903,0.004318979565845804
P200,240.0,0.0,200.0,1741944811.3648274,aruco_6,0.39474485146137017,0.054508067069748194,0.045659324160496895,0.05494591409487102,0.07485569165846623,0.9956140296602474,-0.011413418153540853
P200,240.0,0.0,200.0,1741944811.3651187,aruco_10,0.7628918715760304,0.0546890572874772,0.026036581009239224,0.03348272662324836,0.013285754103830443,0.9993455561108165,0.0032932443095723693
P200,240.0,0.0,200.0,1741944811.3654103,aruco_0,0.060472734671433714,0.004478949813148045,0.02901965285200936,0.07739861243749874,0.06900465444102966,0.9944541815134598,-0.017569389613825852
P200,240.0,0.0,200.0,1741944811.3657627,aruco_3,0.2113866881443951,-0.037784252392459444,0.05794835859725311,-0.05247181600604925,-0.02718831822217658,0.9982322927676681,-0.00630743438291602
P200,240.0,0.0,200.0,1741944811.3666718,aruco_1,0.017239715221458618,-0.042897220876196115,0.028748066179958065,-0.021568795319410528,-0.07307571270891267,0.9970694415202332,-0.006873598864174123
P200,240.0,0.0,200.0,1741944811.3670204,aruco_5,0.39654371916552095,-0.03885568632285924,0.058091905468535265,0.030979560997008312,-0.012089587361689686,0.9993844138561977,-0.011175520027866653
P200,240.0,0.0,200.0,1741944811.3672988,aruco_7,0.5804856580168609,-0.03934681256815299,0.0487466894528541,0.07997869986313816,-0.054640816009478656,0.9952676201361009,0.0077552037345010195
P200,240.0,0.0,200.0,1741944811.367587,aruco_9,0.7642301001119253,-0.040165825314028514,0.030526234962281906,0.02920517850797052,-0.007616568382125752,0.999539430835273,0.0031562426570984027
P200,240.0,0.0,200.0,1741944811.4464617,aruco_2,0.020093045628468642,0.055158817736998024,0.03616803572699123,-0.043942444698155676,0.061079974876271884,0.9971006955413485,-0.011335404891031136
P200,240.0,0.0,200.0,1741944811.4469774,aruco_8,0.5831207655969848,0.059016114490542865,0.03014541107904123,0.05473538766053435,0.024008295110103852,0.9981553951965266,0.01065064832538258
P200,240.0,0.0,200.0,1741944811.4476025,aruco_4,0.20764005614813566,0.05438378857623833,0.04070781456577177,-0.011039905633846122,0.059954491145634906,0.99813112432629,0.004222370595724585
P200,240.0,0.0,200.0,1741944811.4483826,aruco_6,0.39472914358034084,0.05450479670885864,0.04526753627644009,0.0626091554173983,0.06661130272550005,0.9957571130278978,-0.010525684842067694
P200,240.0,0.0,200.0,1741944811.448777,aruco_10,0.764056144884056,0.054655624169518094,0.023464831965583022,0.030107286976718536,0.013347559966019234,0.9994529282373944,0.0030378247182484947
P200,240.0,0.0,200.0,1741944811.4491599,aruco_0,0.07835473874532678,0.005072497176303092,0.03933549819505067,-0.42422810341781614,0.04680277089119155,0.9039979967134053,-0.025052390721901196
P200,240.0,0.0,200.0,1741944811.4495628,aruco_3,0.21106865275909428,-0.03799914456611492,0.05678080856105128,-0.05072437559176955,-0.024012173824618645,0.9984025096505632,-0.0065476814128737825
P200,240.0,0.0,200.0,1741944811.4499795,aruco_1,0.013550194212755717,-0.044122607279399734,0.021969677508701935,-0.0215158712376879,-0.07782959170626798,0.9966979448464558,-0.008533403810592238
P200,240.0,0.0,200.0,1741944811.4503772,aruco_5,0.39652848002835256,-0.03893334749835675,0.057578905478492426,0.03478166846177486,-0.011410230321897603,0.9992707568426117,-0.010862178560727619
P200,240.0,0.0,200.0,1741944811.4508119,aruco_7,0.5806711395901886,-0.03945703986561884,0.04791734929335267,0.08025518254781101,-0.05684741976804662,0.9951256494319025,0.007239369182353156
P200,240.0,0.0,200.0,1741944811.451293,aruco_9,0.7628074143049585,-0.03970866699522471,0.03368464919100178,0.031090277874120463,-0.010979370555820572,0.9994561687062496,0.0004528842084370607
P200,240.0,0.0,200.0,1741944811.5756946,aruco_2,0.0196480740621372,0.05515559199638082,0.03536177052823364,-0.04399888023470246,0.06451401657526115,0.9968741980580049,-0.011994318812646577
P200,240.0,0.0,200.0,1741944811.5761948,aruco_8,0.5830804883763689,0.05899490310087868,0.030224840852178914,0.052612431690989336,0.02467063273106369,0.9982543536927956,0.01056065429882461
