Command,Speed (mm/s),Initial Position (mm),End Position (mm),Current Position (mm),Time (s),ArUco ID,Translation X (mm),Translation Y (mm),Translation Z (mm),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6873958,aruco_6,397.03103961985437,53.745160333048204,48.83325737592492,-0.047280115696594294,0.08160037352478106,0.9954819720943806,-0.011027383422460972
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6878617,aruco_10,765.1126626708897,55.438905823907945,26.018034124075662,0.03181010379541751,-0.006882871361874926,0.9994598939399272,-0.004544668074726323
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6882899,aruco_0,188.34164391706142,4.389335308248851,48.40548689814861,-0.27774874742214056,-0.006398484456389625,0.9605297941646952,-0.01404260952877797
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6886039,aruco_3,207.70135504822525,-43.029096078173154,36.761975257038834,0.05010930079242964,0.10208698131274073,0.9934976674117537,-0.005448059323041339
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6889153,aruco_1,1.1154636335093393,-51.14761517247714,-7.7427232543850755,0.005473051850748849,-0.05641534597004605,0.9983775214335684,-0.005446964727654322
P200,10.0,0.0,200.0,187.89999389648438,1742199625.689248,aruco_5,399.6166292865229,-38.913043291153414,63.69778473368915,0.11021506624578829,-0.03872758102318865,0.9931422744861175,-0.00460718577441105
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6895974,aruco_7,586.1168368662602,-41.12217570472555,35.355604978534295,0.048103482492630856,-0.009967515305617831,0.9987921621589735,0.0009542555297226786
P200,10.0,0.0,200.0,187.89999389648438,1742199625.6899326,aruco_9,761.4105131503132,-37.61518236195563,42.485084159477495,0.037415265807086304,-0.016138104376906652,0.9991684725434689,0.0014188586457395545
P200,10.0,0.0,200.0,188.6300048828125,1742199625.7980711,aruco_8,583.6928622075629,59.20914343145568,38.46348568324343,0.05992706752822549,0.04294577878760748,0.9972406903033476,0.008683456999525302
P200,10.0,0.0,200.0,188.6300048828125,1742199625.7984395,aruco_2,17.217996894710595,53.0851285963876,26.20699988021391,-0.04015617209867558,0.07547988078854684,0.9962107908439831,-0.015947410586083913
P200,10.0,0.0,200.0,188.6300048828125,1742199625.7986155,aruco_4,214.69087394578779,53.167521021098956,57.96571010661366,-0.03807302550209323,0.0461973903784102,0.9981949810540699,0.004797487021361873
P200,10.0,0.0,200.0,188.6300048828125,1742199625.798799,aruco_6,396.9558192185752,53.68611021942046,46.56256662989344,-0.03647006555288923,0.08071731567660563,0.9960107812380831,-0.010824195259314356
P200,10.0,0.0,200.0,188.6300048828125,1742199625.7989433,aruco_10,764.8728207093124,55.47416013540831,26.525771917586205,0.03221118495507967,-0.007014716184300793,0.99944578948009,-0.0046192460849506746
P200,10.0,0.0,200.0,188.6300048828125,1742199625.7991526,aruco_0,189.81656202759203,4.510273591367797,50.409816781175955,-0.2923373571814142,-0.0030224611728724513,0.9562048218590907,-0.014214792667795484
P200,10.0,0.0,200.0,188.6300048828125,1742199625.799808,aruco_1,1.3206509016746026,-51.07529232066396,-7.329525887201815,0.00437775216259838,-0.05794786009559644,0.9982982654817405,-0.004841923225222619
P200,10.0,0.0,200.0,189.35000610351562,1742199625.800594,aruco_3,208.31401245189707,-42.61278421275655,39.12991921160036,0.05595845808378849,0.09903984685478857,0.9935058502011286,-0.0024239588323117264
P200,10.0,0.0,200.0,189.35000610351562,1742199625.8009396,aruco_5,399.40422648690003,-39.761497957183536,58.01415754482997,0.09988314986362759,-0.02756938736526984,0.9946026493364596,-0.005370767136968865
P200,10.0,0.0,200.0,189.35000610351562,1742199625.80112,aruco_7,586.248097925967,-41.29229551319677,34.333378350807074,0.03641194567781911,-0.008191058645947538,0.999302738937001,-0.0010502080713176971
P200,10.0,0.0,200.0,189.35000610351562,1742199625.8012905,aruco_9,761.7659047272069,-37.70077370508449,41.61010361735728,0.035881238781178396,-0.014477562767524219,0.9992482706256501,0.002412622503141507
P200,10.0,0.0,200.0,189.35000610351562,1742199625.9006977,aruco_8,584.0560230475503,59.18751762232543,36.90382234700906,0.05750646526712769,0.0427814876084206,0.9973877339619288,0.008969341221204857
P200,10.0,0.0,200.0,190.0800018310547,1742199625.9012144,aruco_2,17.62539930621082,53.10920403080503,26.95661706229857,-0.041163543742456815,0.07877877831601379,0.9959173484315369,-0.015750939941041164
P200,10.0,0.0,200.0,190.0800018310547,1742199625.9015393,aruco_4,214.80552726532156,53.16344399393096,58.22320267912018,-0.03777811744375735,0.04463607768100878,0.9982761140501198,0.00502242569751707
P200,10.0,0.0,200.0,190.0800018310547,1742199625.901925,aruco_6,397.0027050569502,53.72970903670697,47.76105398402297,-0.04158707086681154,0.0831103299565788,0.9956142779782221,-0.010741896732085563
